VideoID,Site,Title,Performers,Rating,Director,Description,Runtime,Release Date,Year,Pictures,Video URL,Thumbnail URL,Thumbnail Filename
104338,Tushy,New Obsession Part 2,"KELLY COLLINS, VINCE KARTER",9.3,Julia Grandi,"Kelly was the life of the party, but now she's the queen of clean living. That is until she encounters a dirtbag, and it gives her some filthy ideas about the best way to mess up her sheets. Part 2 of an ongoing series.",42:56:00,25-Dec-23,2023,112,https://www.tushy.com/videos/new-obsession-part-2,https://cdn.tushy.com/scene/videoimages/104338/mainLandscape/1702553142025/tushy-new-obsession-part-2_3840x2160.jpeg,104338.jpeg
104317,Tushy,Gorgeous April Lives Her Double Penetration Fantasy,"APRIL OLSEN, CHRISTIAN CLAY, ALEX CHARGER",9,Julia Grandi,"In her green velvet minidress, April helps a senior sales associate teach his protégé a little something about confidence. After a wild night, it's April who ends up getting her deal sealed.",38:39:00,18-Dec-23,2023,79,https://www.tushy.com/videos/gorgeous-april-lives-her-double-penetration-fantasy,https://cdn.tushy.com/scene/videoimages/104317/mainLandscape/1702219028950/tushy-030923-ap-ol-ac-cc_3840x2160.jpeg,104317.jpeg
104308,Tushy,Anal Craving Cutie Student Coco Is Hot For Teacher,"COCO LOVELOCK, MILAN PONJEVIC",9.1,Derek Dozer,"Coco has a math problem she needs help with: if teacher-student relationships are so frowned upon, why do so many girls crush on their professors? Coco needs her professor's help getting to the, er, bottom of this one.",29:05:00,11-Dec-23,2023,73,https://www.tushy.com/videos/anal-craving-cutie-student-coco-is-hot-for-teacher,https://cdn.tushy.com/scene/videoimages/104308/mainLandscape/1700821948129/tushy-102023-c-lo-mi_3840x2160.jpeg,104308.jpeg
104309,Tushy,Fiery Tango Dancer Lisa Is Insatiable For Anal,"LISA BELYS, CHRISTIAN CLAY",8.7,Julia Grandi,"The tango is a sensuous dance of seduction where two bodies form a seal so that not even a sliver of light can pass between them. Lisa is an expert dancer, so just imagine what her ass can do.",40:13:00,04-Dec-23,2023,107,https://www.tushy.com/videos/fiery-tango-dancer-lisa-is-insatiable-for-anal,https://cdn.tushy.com/scene/videoimages/104309/mainLandscape/1700482771558/tushy-051723-li-be-cc_3840x2160.jpeg,104309.jpeg
104307,Tushy,Girl With A Plan Part 2,"EMBER SNOW, MAXIMO GARCIA",9,Laurent Sky,"Alexis thought she was getting a first crack at Maximo, but little did she know someone else was waiting in the shadows.",34:30:00,27-Nov-23,2023,60,https://www.tushy.com/videos/girl-with-a-plan-part-2,https://cdn.tushy.com/scene/videoimages/104307/mainLandscape/1700217670916/tushy-girl-with-a-plan-part-2_3840x2160.jpeg,104307.jpeg
104252,Tushy,Entanglements Part 2,"JIA LISSA, VINCE KARTER, ALBERTO BLANCO",9.3,Julia Grandi,"It was supposed to be four perfect strangers on the perfect group getaway... but then Jia found out her boyfriend has been cheating on her while she's away. Instead of getting mad, Jia gets double-penetrated. Part 2 of 2.",39:22:00,20-Nov-23,2023,114,https://www.tushy.com/videos/entanglements-part-2,https://cdn.tushy.com/scene/videoimages/104252/mainLandscape/1699603499820/tushy-entanglements-part-2_3840x2160.jpeg,104252.jpeg
104251,Tushy,Naughty Anal Hungry Hazel Cant Resist A Bad Boy,"HAZEL MOORE, MAXIMO GARCIA",9.2,Laurent Sky,Hazel's defense attorney daddy always has bad boys coming to visit... and his precious daughter has developed a type. But only a troublemaker can pull off a break and enter on this rich girl's back door.,38:34:00,13-Nov-23,2023,74,https://www.tushy.com/videos/naughty-anal-hungry-hazel-cant-resist-a-bad-boy,https://cdn.tushy.com/scene/videoimages/104251/mainLandscape/1699003164412/tushy-051523-hamo-max_3840x2160.jpeg,104251.jpeg
104250,Tushy,Curvy Goddess Vic Marie Gets Her Perfect Ass Filled,"VIC MARIE, PARKER AMBROSE",8.7,Laurent Sky,"Vic is taking her husband for everything: his house, his pool, his lawyer. When Vic insists her husband's attorney take care of some unfinished business, this curvy blonde comes off as the shark, and he has no objections.",37:31:00,06-Nov-23,2023,62,https://www.tushy.com/videos/curvy-goddess-vic-marie-gets-her-perfect-ass-filled,https://cdn.tushy.com/scene/videoimages/104250/mainLandscape/1698431768848/tushy-092923-v-m-pa_3840x2160.jpeg,104250.jpeg
104239,Tushy,Anal Obsessed Lexi Demands The Full Service Treatment,"LEXI LORE, CHRIS DIAMOND",9.3,KGB,"Lexi's single again and vacationing solo. When a resort employee catches her eye, Lexi decides to treat him to an all-inclusive package.",41:45:00,29-Oct-23,2023,81,https://www.tushy.com/videos/anal-obsessed-lexi-demands-the-full-service-treatment,https://cdn.tushy.com/scene/videoimages/104239/mainLandscape/1697712024834/tushy-anal-obsessed-lexi-demands-the-full-service-treatment_3840x2160.jpeg,104239.jpeg
104230,Tushy,Entanglements Part 1,"KIRA NOIR, VINCE KARTER, ALBERTO BLANCO",8.8,Julia Grandi,"When four perfect strangers win a stay in one perfect house, they prepare for the vacation of a lifetime. But when one can't come out to play, Kira decides three's a party and turns up the heat. Part 1 of 2.",36:59:00,22-Oct-23,2023,114,https://www.tushy.com/videos/entanglements-part-1,https://cdn.tushy.com/scene/videoimages/104230/mainLandscape/1697116670996/tushy-entanglements-part-1_3840x2160.jpeg,104230.jpeg
